Internship Title,Company Name,Location,Start Date,Duration,Stipend,Payroll_Clean,Level,Internship_Title,Payroll_Level_Bucket,Skills,Skills_List
android app development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"₹ 5,000 /month",5000.0,Senior,android app development,14 (Senior),"Java/Kotlin, Android SDK, UI/UX Design, API Integration, Testing, Git","['Java/Kotlin', 'Android SDK', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"₹ 7,000-15,000 /month",11000.0,Mid,telecalling,17-15 (Mid),"Communication, Customer Interaction, Reporting, CRM","['Communication', 'Customer Interaction', 'Reporting', 'CRM']"
business development (sales),Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month",22500.0,Entry,business development (sales),27-1 (Entry),"Communication, Customer Interaction, Cold Calling, Record Keeping","['Communication', 'Customer Interaction', 'Cold Calling', 'Record Keeping']"
operations,PcsInfinity,Delhi,Immediately,3 Months,"₹ 10,000 lump sum",10000.0,Junior,operations,23-21 (Junior),"Task Coordination, Scheduling, Reporting, Communication","['Task Coordination', 'Scheduling', 'Reporting', 'Communication']"
hr,AU Small Finance Bank,Mumbai,Immediately,4 Months,"₹ 2,000 /month",2000.0,Elite,,,,
finance & accounting,Ieng Groups,Bangalore,Immediately,4 Months,"₹ 5,000 /month",5000.0,Elite,,,,
content writing,HT Media,Mumbai,Immediately,4 Months,"₹ 3,500-5,000 /month",4250.0,Mid,content writing,37-25 (Mid),"SEO Writing, Copywriting, Storytelling, Editing, Blogging","['SEO Writing', 'Copywriting', 'Storytelling', 'Editing', 'Blogging']"
product management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"₹ 7,500 /month",7500.0,Senior,product management,15 (Senior),"Roadmap Planning, Stakeholder Management, Market Research, Product Analytics, UX/UI Understanding, Communication","['Roadmap Planning', 'Stakeholder Management', 'Market Research', 'Product Analytics', 'UX/UI Understanding', 'Communication']"
business development (sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"₹ 2,500-9,500 /month",6000.0,Elite,business development (sales),46-44 (Elite),"Strategic Planning, Negotiation, CRM, Market Research, Leadership, Client Acquisition, Data Analysis, Communication","['Strategic Planning', 'Negotiation', 'CRM', 'Market Research', 'Leadership', 'Client Acquisition', 'Data Analysis', 'Communication']"
marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"₹ 6,000 /month",6000.0,Mid,marketing,34-31 (Mid),"Marketing Strategy, Analytics, Campaign Management, Brand Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Brand Management', 'Communication']"
event management,Office Of Advisor To CM,Delhi,Immediately,6 Months,Unpaid,0.0,Elite,event management,17 (Elite),"Event Planning, Budgeting, Vendor Management, Logistics, Coordination, Marketing","['Event Planning', 'Budgeting', 'Vendor Management', 'Logistics', 'Coordination', 'Marketing']"
hr,WWF India,Delhi,Immediately,6 Months,"₹ 5,000-10,000 /month",7500.0,Junior,hr,4-3 (Junior),"Recruitment, HR Policies, HR Software, Communication","['Recruitment', 'HR Policies', 'HR Software', 'Communication']"
marketing,Cuberoutes,Chennai,Immediately,3 Months,"₹ 12,000 /month +  Incentives",12000.0,Entry,marketing,24-1 (Entry),"Marketing Basics, Communication, Reporting","['Marketing Basics', 'Communication', 'Reporting']"
creative design,Soyu,Hyderabad,Immediately,3 Months,"₹ 5,000 /month",5000.0,Mid,creative design,8-6 (Mid),"Photoshop, Illustrator, Typography, Branding, Layout","['Photoshop', 'Illustrator', 'Typography', 'Branding', 'Layout']"
web development,Celebrare,Work From Home,Immediately,3 Months,"₹ 6,000-12,000 /month",9000.0,Mid,web development,17-15 (Mid),"HTML, CSS, JS, Git, Basic React, Database","['HTML', 'CSS', 'JS', 'Git', 'Basic React', 'Database']"
ui/ux design,QuadB Tech,Ludhiana,Immediately,3 Months,"₹ 15,000-25,000 /month",20000.0,Entry,ui/ux design,6-1 (Entry),"Canva, Simple Mockups, Basic UI Design","['Canva', 'Simple Mockups', 'Basic UI Design']"
business development (sales),Rentkar-Switch To Share,Mumbai,Immediately,3 Months,"₹ 12,000-14,000 /month",13000.0,Junior,business development (sales),33-28 (Junior),"Lead Generation, Communication, Customer Engagement, Product Knowledge, Reporting","['Lead Generation', 'Communication', 'Customer Engagement', 'Product Knowledge', 'Reporting']"
architecture,Digipplus,Work From Home,Immediately,3 Months,"₹ 25,000-30,000 /month",27500.0,Entry,architecture,4-1 (Entry),"Sketching, Drafting, Basic Design Knowledge","['Sketching', 'Drafting', 'Basic Design Knowledge']"
talent acquisition,TopHire,Work From Home,Immediately,3 Months,"₹ 5,000-15,000 /month",10000.0,Junior,talent acquisition,8-5 (Junior),"Job Posting, Screening, Scheduling, Candidate Interaction, Communication","['Job Posting', 'Screening', 'Scheduling', 'Candidate Interaction', 'Communication']"
digital marketing,Mars Elevator,Gurgaon,Immediately,3 Months,"₹ 15,000 /month +  Incentives",15000.0,Entry,digital marketing,14-1 (Entry),"Social Media Posting, Content Creation, Basic Analytics","['Social Media Posting', 'Content Creation', 'Basic Analytics']"
corporate sales,Blue Rose Publishers,Delhi,Immediately,3 Months,"₹ 22,000 /month",22000.0,Entry,corporate sales,2-1 (Entry),"Basic Communication, Cold Calling, Customer Interaction","['Basic Communication', 'Cold Calling', 'Customer Interaction']"
event management,Tech Analogy,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month",1500.0,Elite,event management,17 (Elite),"Event Planning, Budgeting, Vendor Management, Logistics, Coordination, Marketing","['Event Planning', 'Budgeting', 'Vendor Management', 'Logistics', 'Coordination', 'Marketing']"
product management,HappiMynd,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month",1500.0,Elite,product management,16 (Elite),"Roadmap Planning, Stakeholder Management, Market Research, Product Analytics, UX/UI Understanding, Communication","['Roadmap Planning', 'Stakeholder Management', 'Market Research', 'Product Analytics', 'UX/UI Understanding', 'Communication']"
product management,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6 Months,"₹ 10,000-12,000 /month",11000.0,Mid,product management,14-12 (Mid),"Feature Planning, Requirement Gathering, Basic Analytics, Communication","['Feature Planning', 'Requirement Gathering', 'Basic Analytics', 'Communication']"
android app development,"Powerhouse AI (Singapore, Singapore)",Work From Home,Not specified,6 Months,"₹ 10,000-20,000 /month",15000.0,Entry,android app development,6-1 (Entry),"Basic Android, Simple Layouts, Java Basics","['Basic Android', 'Simple Layouts', 'Java Basics']"
product management,NightOwl,Work From Home,Immediately,6 Months,"₹ 15,000-25,000 /month",20000.0,Entry,product management,7-1 (Entry),"Product Knowledge, Documentation, Task Tracking","['Product Knowledge', 'Documentation', 'Task Tracking']"
business development (sales),WEB5G TECHNOLOGY PRIVATE LIMITED,Ghaziabad,Immediately,6 Months,"₹ 12,000-30,000 /month",21000.0,Entry,business development (sales),27-1 (Entry),"Communication, Customer Interaction, Cold Calling, Record Keeping","['Communication', 'Customer Interaction', 'Cold Calling', 'Record Keeping']"
human resources (hr),Guruji Astro,Jaipur,Immediately,5 Months,"₹ 9,000 /month",9000.0,Junior,human resources (hr),18-15 (Junior),"Recruitment, Employee Engagement, HR Policies, Communication","['Recruitment', 'Employee Engagement', 'HR Policies', 'Communication']"
interior design,9 Pointers Tech Private Limited,Jaipur,Immediately,5 Months,"₹ 5,000-15,000 /month",10000.0,Junior,interior design,6-4 (Junior),"AutoCAD, Sketching, Design Principles, Communication","['AutoCAD', 'Sketching', 'Design Principles', 'Communication']"
event management,Blue Sparrow Science Party,Mumbai,Immediately,5 Months,"₹ 1,000 /week",1000.0,Elite,event management,17 (Elite),"Event Planning, Budgeting, Vendor Management, Logistics, Coordination, Marketing","['Event Planning', 'Budgeting', 'Vendor Management', 'Logistics', 'Coordination', 'Marketing']"
video editing,FlexiFunnels,Dehradun,Immediately,5 Months,"₹ 25,000 /month",25000.0,Entry,video editing,11-1 (Entry),"Basic Editing, Simple Cuts, Audio","['Basic Editing', 'Simple Cuts', 'Audio']"
business development (sales),Blue Rose Publishers,Delhi,Immediately,5 Months,"₹ 22,000 /month",22000.0,Entry,business development (sales),27-1 (Entry),"Communication, Customer Interaction, Cold Calling, Record Keeping","['Communication', 'Customer Interaction', 'Cold Calling', 'Record Keeping']"
field sales,Vitta Chrome India Private Limited,Mumbai,Immediately,5 Months,"₹ 15,000 /month +  Incentives",15000.0,Entry,field sales,3-1 (Entry),"Cold Calling, Customer Interaction, Communication","['Cold Calling', 'Customer Interaction', 'Communication']"
sales,ZocoNut,Delhi,Immediately,5 Months,"₹ 8,000-15,000 /month",11500.0,Junior,sales,16-12 (Junior),"CRM, Lead Generation, Customer Interaction, Communication","['CRM', 'Lead Generation', 'Customer Interaction', 'Communication']"
operations,Able Jobs,Bangalore,Immediately,5 Months,"₹ 12,000-18,000 /month",15000.0,Entry,operations,20-1 (Entry),"Clerical Tasks, Scheduling, Communication","['Clerical Tasks', 'Scheduling', 'Communication']"
operations,Able Jobs,Bangalore,Immediately,5 Months,"₹ 12,000-15,000 /month",13500.0,Entry,operations,20-1 (Entry),"Clerical Tasks, Scheduling, Communication","['Clerical Tasks', 'Scheduling', 'Communication']"
marketing,Clipbait Media Private Limited,Bangalore,Immediately,5 Months,"₹ 7,500 /month +  Incentives",7500.0,Junior,marketing,30-25 (Junior),"Marketing Strategy, Analytics, Campaign Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Communication']"
operations,Rentkar-Switch To Share,Bangalore,Immediately,5 Months,"₹ 12,000-14,000 /month",13000.0,Junior,operations,23-21 (Junior),"Task Coordination, Scheduling, Reporting, Communication","['Task Coordination', 'Scheduling', 'Reporting', 'Communication']"
video making/editing,Wherehouse.io,Gurgaon,Immediately,5 Months,"₹ 5,000-20,000 /month",12500.0,Junior,video making/editing,16-15 (Junior),"Premiere Pro, Editing, Motion Graphics, Audio","['Premiere Pro', 'Editing', 'Motion Graphics', 'Audio']"
creative design,FlytBase Labs,Pune,Immediately,5 Months,"₹ 25,000-30,000 /month",27500.0,Entry,creative design,3-1 (Entry),"Photoshop, Illustrator, Basic Layout","['Photoshop', 'Illustrator', 'Basic Layout']"
business development (sales),Recipeat,Bangalore,Immediately,5 Months,"₹ 6,000-16,000 /month",11000.0,Mid,business development (sales),39-34 (Mid),"CRM, Lead Generation, Communication, Customer Relationship Management, Reporting, Presentation","['CRM', 'Lead Generation', 'Communication', 'Customer Relationship Management', 'Reporting', 'Presentation']"
ui/ux design,Bilateral Solutions Private Limited,Mandi,Immediately,5 Months,"₹ 12,000-15,000 /month",13500.0,Junior,ui/ux design,9-7 (Junior),"Wireframing, Prototyping, User Research, Interaction Design, Communication","['Wireframing', 'Prototyping', 'User Research', 'Interaction Design', 'Communication']"
hr recruitment,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5 Months,"₹ 20,000 /month",20000.0,Entry,hr recruitment,2-1 (Entry),"Documentation, Candidate Interaction, Basic HR Knowledge","['Documentation', 'Candidate Interaction', 'Basic HR Knowledge']"
video making/editing,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"₹ 15,000 /month",15000.0,Junior,video making/editing,16-15 (Junior),"Premiere Pro, Editing, Motion Graphics, Audio","['Premiere Pro', 'Editing', 'Motion Graphics', 'Audio']"
social media management,Iksha Labs Private Limited,Gurgaon,Immediately,6 Months,"₹ 20,000 /month",20000.0,Entry,,,,
market research,9Heaven,Delhi,Immediately,3 Months,"₹ 3,000 /month",3000.0,Senior,market research,13-12 (Senior),"Data Analysis, Surveys, Analytics Tools, Reporting, Competitor Analysis, Communication","['Data Analysis', 'Surveys', 'Analytics Tools', 'Reporting', 'Competitor Analysis', 'Communication']"
operations,Solution Graph,Work From Home,Immediately,3 Months,"₹ 2,000 /month",2000.0,Elite,operations,33-31 (Elite),"Process Optimization, Logistics, ERP Tools, Reporting, Resource Planning, Communication, Scheduling, Problem Solving","['Process Optimization', 'Logistics', 'ERP Tools', 'Reporting', 'Resource Planning', 'Communication', 'Scheduling', 'Problem Solving']"
social media marketing,Jalan Distributors & Company,Kolkata,Immediately,3 Months,"₹ 7,000 /month +  Incentives",7000.0,Mid,social media marketing,28-25 (Mid),"Social Media Strategy, Analytics, Content Planning, Campaign Management, Reporting, Communication","['Social Media Strategy', 'Analytics', 'Content Planning', 'Campaign Management', 'Reporting', 'Communication']"
search engine optimization (seo),OpeninApp,Bangalore,Immediately,3 Months,"₹ 25,000 /month",25000.0,Entry,search engine optimization (seo),9-1 (Entry),"SEO Basics, Keyword Research, Content Optimization","['SEO Basics', 'Keyword Research', 'Content Optimization']"
content writing,RankItRight Media,Bangalore,Immediately,3 Months,"₹ 25,000 /month",25000.0,Entry,content writing,11-1 (Entry),"Writing, Editing, Blogging","['Writing', 'Editing', 'Blogging']"
digital marketing,Evenly Clinic,Bangalore,Immediately,3 Months,"₹ 8,000-15,000 /month",11500.0,Junior,digital marketing,24-15 (Junior),"Social Media, Content Creation, Basic Analytics, Posting","['Social Media', 'Content Creation', 'Basic Analytics', 'Posting']"
wordpress development,Zeppstr,Bangalore,Immediately,6 Months,"₹ 5,000-10,000 /month",7500.0,Mid,wordpress development,15-13 (Mid),"WordPress, Theme Customization, HTML/CSS, Plugins, SEO","['WordPress', 'Theme Customization', 'HTML/CSS', 'Plugins', 'SEO']"
law/legal,Robocapital,Mumbai,Immediately,6 Months,"₹ 7,000 /month",7000.0,Junior,law/legal,11-8 (Junior),"Legal Drafting, Case Filing, Basic Research, Communication","['Legal Drafting', 'Case Filing', 'Basic Research', 'Communication']"
operations,One Root,Thalavadi,Immediately,6 Months,"₹ 15,000-20,000 /month",17500.0,Entry,operations,20-1 (Entry),"Clerical Tasks, Scheduling, Communication","['Clerical Tasks', 'Scheduling', 'Communication']"
event management,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"₹ 12,000 /month",12000.0,Entry,event management,6-1 (Entry),"Task Assistance, Documentation, Coordination","['Task Assistance', 'Documentation', 'Coordination']"
business development,Pawzz,Work From Home,Immediately,6 Months,"₹ 1,500-10,000 lump sum",5750.0,Senior,,,,
social media marketing,TechWhoop,Work From Home,Immediately,6 Months,"₹ 3,001 /month",3001.0,Senior,social media marketing,31-29 (Senior),"Social Media Strategy, Analytics, Content Planning, Campaign Management, Reporting, Communication","['Social Media Strategy', 'Analytics', 'Content Planning', 'Campaign Management', 'Reporting', 'Communication']"
digital marketing,LetsDressUp,Gurgaon,Immediately,3 Months,"₹ 18,000-22,000 /month",20000.0,Entry,digital marketing,14-1 (Entry),"Social Media Posting, Content Creation, Basic Analytics","['Social Media Posting', 'Content Creation', 'Basic Analytics']"
field sales,HUElite,Delhi,Immediately,3 Months,"₹ 14,000-18,000 /month",16000.0,Entry,field sales,3-1 (Entry),"Cold Calling, Customer Interaction, Communication","['Cold Calling', 'Customer Interaction', 'Communication']"
graphic design,"Kyupid (London, United Kingdom)",Work From Home,Immediately,3 Months,"₹ 7,500 /month +  Incentives",7500.0,Mid,graphic design,31-25 (Mid),"Photoshop, Illustrator, Branding, UX/UI, Typography","['Photoshop', 'Illustrator', 'Branding', 'UX/UI', 'Typography']"
market research,Darukaa ESG,Mumbai,Immediately,3 Months,"₹ 11,000-15,000 /month",13000.0,Entry,market research,6-1 (Entry),"Data Entry, Basic Reporting, Communication","['Data Entry', 'Basic Reporting', 'Communication']"
business development (sales),DIGIGIRI ENTERPRISES,Sonipat,Immediately,6 Months,"₹ 3,000-15,000 /month",9000.0,Mid,business development (sales),39-34 (Mid),"CRM, Lead Generation, Communication, Customer Relationship Management, Reporting, Presentation","['CRM', 'Lead Generation', 'Communication', 'Customer Relationship Management', 'Reporting', 'Presentation']"
field sales,Valluri Naga Venkata Sai Avinash Chowdary,Vijayawada,Immediately,6 Months,"₹ 3,500 /month +  Incentives",3500.0,Elite,field sales,10 (Elite),"Negotiation, CRM, Lead Generation, Customer Management, Communication, Reporting","['Negotiation', 'CRM', 'Lead Generation', 'Customer Management', 'Communication', 'Reporting']"
telecalling,Unimonks,Delhi,Immediately,6 Months,"₹ 16,000 /month +  Incentives",16000.0,Entry,telecalling,9-1 (Entry),"Basic Calling, Communication, Notes","['Basic Calling', 'Communication', 'Notes']"
content writing,Bytesview Analytics Private Limited,Noida,Immediately,6 Months,"₹ 7,000-10,000 /month",8500.0,Junior,content writing,24-12 (Junior),"Copywriting, Storytelling, Editing, Blogging","['Copywriting', 'Storytelling', 'Editing', 'Blogging']"
field sales,Ask Fin Guru,Dombivli,Immediately,6 Months,"₹ 7,000 /month +  Incentives",7000.0,Senior,field sales,9 (Senior),"Negotiation, CRM, Lead Generation, Customer Management, Communication, Reporting","['Negotiation', 'CRM', 'Lead Generation', 'Customer Management', 'Communication', 'Reporting']"
video editing,QuadB Tech,Ludhiana,Immediately,6 Months,"₹ 5,000-15,000 /month",10000.0,Junior,video editing,14-12 (Junior),"Premiere Pro, Editing, Motion Graphics, Audio Editing","['Premiere Pro', 'Editing', 'Motion Graphics', 'Audio Editing']"
business development,Time:Code,Gurgaon,Immediately,6 Months,"₹ 8,000-12,000 /month",10000.0,Mid,,,,
customer service,Astro Arun Pandit,Noida,Immediately,6 Months,"₹ 10,000-15,000 /month",12500.0,Junior,customer service,8-5 (Junior),"Communication, Handling Queries, CRM, Reporting","['Communication', 'Handling Queries', 'CRM', 'Reporting']"
sales,Power Stones,Delhi,Immediately,6 Months,"₹ 7,000 /month",7000.0,Mid,sales,19-17 (Mid),"CRM, Lead Generation, Customer Interaction, Reporting, Communication","['CRM', 'Lead Generation', 'Customer Interaction', 'Reporting', 'Communication']"
content writing,STEMpedia,Ahmedabad,Immediately,6 Months,"₹ 8,000-14,000 /month",11000.0,Entry,content writing,11-1 (Entry),"Writing, Editing, Blogging","['Writing', 'Editing', 'Blogging']"
marketing,Amusant Events,Pondicherry,Immediately,6 Months,"₹ 3,500 /month +  Incentives",3500.0,Senior,marketing,37-35 (Senior),"Marketing Strategy, Analytics, Campaign Management, Brand Management, SEO/SEM, Communication, Reporting","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Brand Management', 'SEO/SEM', 'Communication', 'Reporting']"
telecalling,CODING JUNIORS TECH PRIVATE LIMITED,Ahmedabad,Immediately,6 Months,"₹ 2,000 /month",2000.0,Elite,telecalling,20 (Elite),"Cold Calling, Communication, CRM, Customer Persuasion, Objection Handling, Reporting","['Cold Calling', 'Communication', 'CRM', 'Customer Persuasion', 'Objection Handling', 'Reporting']"
search engine optimization (seo),Internshala,Gurgaon,Immediately,6 Months,"₹ 18,000 /month",18000.0,Entry,search engine optimization (seo),9-1 (Entry),"SEO Basics, Keyword Research, Content Optimization","['SEO Basics', 'Keyword Research', 'Content Optimization']"
operations,Stirring Minds,Delhi,Immediately,3 Months,"₹ 7,000-12,000 /month",9500.0,Junior,operations,23-21 (Junior),"Task Coordination, Scheduling, Reporting, Communication","['Task Coordination', 'Scheduling', 'Reporting', 'Communication']"
international business development,Gigde Global Solutions Private Limited,Delhi,Immediately,3 Months,"₹ 15,000-20,000 /month",17500.0,Entry,international business development,3-1 (Entry),"Basic Communication, Research, Documentation","['Basic Communication', 'Research', 'Documentation']"
videography,Stirring Minds,Delhi,Immediately,3 Months,"₹ 7,000-10,000 /month",8500.0,Mid,videography,8-6 (Mid),"Camera Handling, Lighting, Basic Editing, Communication","['Camera Handling', 'Lighting', 'Basic Editing', 'Communication']"
content writing,AppVersal,Delhi,Immediately,3 Months,"₹ 9,000 /month",9000.0,Junior,content writing,24-12 (Junior),"Copywriting, Storytelling, Editing, Blogging","['Copywriting', 'Storytelling', 'Editing', 'Blogging']"
social media marketing,WiJungle - by HttpCart,Gurgaon,Immediately,3 Months,"₹ 25,000 /month",25000.0,Entry,social media marketing,19-1 (Entry),"Social Media Posting, Communication, Basic Content","['Social Media Posting', 'Communication', 'Basic Content']"
videography,Sarvam Foundation,Gurgaon,Immediately,3 Months,"₹ 2,000 /month",2000.0,Elite,videography,10 (Elite),"Camera Handling, Lighting, Storyboarding, Editing, Motion Graphics, Communication","['Camera Handling', 'Lighting', 'Storyboarding', 'Editing', 'Motion Graphics', 'Communication']"
social media marketing,STEMpedia,Ahmedabad,Immediately,3 Months,"₹ 7,000-14,000 /month",10500.0,Junior,social media marketing,24-20 (Junior),"Social Media Management, Content Planning, Communication, Reporting","['Social Media Management', 'Content Planning', 'Communication', 'Reporting']"
video making/editing,STEMpedia,Ahmedabad,Immediately,3 Months,"₹ 8,000-14,000 /month",11000.0,Mid,video making/editing,20-17 (Mid),"Premiere Pro, Editing, Motion Graphics, Audio, Color Correction","['Premiere Pro', 'Editing', 'Motion Graphics', 'Audio', 'Color Correction']"
customer service,Tasuvure,Delhi,Immediately,3 Months,"₹ 10,000-25,000 /month",17500.0,Entry,customer service,4-1 (Entry),"Answering Calls, Basic Support, Communication","['Answering Calls', 'Basic Support', 'Communication']"
content writing,Ramp Asia,Delhi,Immediately,3 Months,"₹ 10,000-18,000 /month",14000.0,Entry,content writing,11-1 (Entry),"Writing, Editing, Blogging","['Writing', 'Editing', 'Blogging']"
business development,Tring,Mumbai,Immediately,3 Months,"₹ 11,000 /month",11000.0,Junior,,,,
business development (sales),Six Ladders,Mumbai,Immediately,3 Months,"₹ 10,000-11,000 /month",10500.0,Mid,business development (sales),39-34 (Mid),"CRM, Lead Generation, Communication, Customer Relationship Management, Reporting, Presentation","['CRM', 'Lead Generation', 'Communication', 'Customer Relationship Management', 'Reporting', 'Presentation']"
digital marketing,MAGNUM Constructions,Bangalore,Immediately,3 Months,"₹ 10,000 /month +  Incentives",10000.0,Mid,digital marketing,31-25 (Mid),"SEO, Social Media, Analytics, Content Creation, Campaign Management","['SEO', 'Social Media', 'Analytics', 'Content Creation', 'Campaign Management']"
graphic design,STEMpedia,Ahmedabad,Immediately,3 Months,"₹ 8,000-14,000 /month",11000.0,Junior,graphic design,24-15 (Junior),"Photoshop, Illustrator, Branding, UX/UI","['Photoshop', 'Illustrator', 'Branding', 'UX/UI']"
event management,Stirring Minds,Delhi,Immediately,3 Months,"₹ 7,000-10,000 /month",8500.0,Junior,event management,11-7 (Junior),"Scheduling, Vendor Coordination, Budgeting, Coordination","['Scheduling', 'Vendor Coordination', 'Budgeting', 'Coordination']"
hr recruitment,EFOS Edumarketers Private Limited,Noida,Immediately,3 Months,"₹ 6,000 /month +  Incentives",6000.0,Junior,hr recruitment,4-3 (Junior),"Job Posting, Screening, Communication, Basic HR Software","['Job Posting', 'Screening', 'Communication', 'Basic HR Software']"
graphic design,Girish Jain Proptech Private Limited,Noida,Immediately,3 Months,"₹ 3,000-8,000 /month",5500.0,Senior,graphic design,37-32 (Senior),"Photoshop, Illustrator, Branding, UX/UI, Typography, Motion Graphics","['Photoshop', 'Illustrator', 'Branding', 'UX/UI', 'Typography', 'Motion Graphics']"
customer service,Concept Mastery,Ghaziabad,Immediately,3 Months,"₹ 2,000 /month",2000.0,Elite,customer service,14 (Elite),"Communication, Problem Solving, CRM, Escalation Handling, Customer Engagement, Reporting","['Communication', 'Problem Solving', 'CRM', 'Escalation Handling', 'Customer Engagement', 'Reporting']"
digital marketing,Be Better Personal Care Private Limited,Bangalore,Immediately,3 Months,"₹ 6,999 /month",6999.0,Senior,digital marketing,37-32 (Senior),"SEO, SEM, Google Ads, Analytics, Marketing Strategy, Campaign Management","['SEO', 'SEM', 'Google Ads', 'Analytics', 'Marketing Strategy', 'Campaign Management']"
graphic design,BookMyShow,Mumbai,Immediately,3 Months,"₹ 7,500 /month",7500.0,Mid,graphic design,31-25 (Mid),"Photoshop, Illustrator, Branding, UX/UI, Typography","['Photoshop', 'Illustrator', 'Branding', 'UX/UI', 'Typography']"
photography,Rentkar-Switch To Share,Mumbai,Immediately,3 Months,"₹ 12,000-14,000 /month",13000.0,Entry,photography,6-1 (Entry),"Mobile Photography, Basic Editing","['Mobile Photography', 'Basic Editing']"
customer service,Momorita,Bangalore,Immediately,5 Months,"₹ 12,000 /month",12000.0,Junior,customer service,8-5 (Junior),"Communication, Handling Queries, CRM, Reporting","['Communication', 'Handling Queries', 'CRM', 'Reporting']"
